,County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Quarter
13,Inyo,0,0,8,5,35,1,49,q2_22.csv
14,Kern,4,1,171,229,190,1,629,q2_22.csv
15,Kings,0,0,51,16,101,0,168,q2_22.csv
16,Lake,0,0,15,0,0,0,15,q2_22.csv
17,Lassen,0,1,7,0,8,0,16,q2_22.csv
18,Los Angeles,31,120,7651,15360,1244,181,24615,q2_22.csv
19,Madera,0,1,51,5,93,2,152,q2_22.csv
20,Marin,1,0,490,308,83,0,1052,q2_22.csv
21,Mariposa,0,0,35,0,10,0,45,q2_22.csv
22,Mendocino,0,0,118,7,37,0,162,q2_22.csv
23,Merced,10,2,40,19,48,3,134,q2_22.csv
24,Modoc,0,0,4,0,8,0,12,q2_22.csv
25,Mono,0,0,20,5,12,0,37,q2_22.csv
26,Monterey,1,0,217,44,136,2,400,q2_22.csv
27,Napa,0,0,321,17,46,0,403,q2_22.csv
28,Nevada,0,1,63,43,45,0,152,q2_22.csv
29,Orange,1,0,2777,1787,600,24,5189,q2_22.csv
30,Placer,0,1,225,56,128,2,448,q2_22.csv
31,Plumas,0,0,8,0,0,0,8,q2_22.csv
32,Riverside,0,1,969,113,401,9,1493,q2_22.csv
33,Sacramento,69,18,909,534,259,18,1839,q2_22.csv
34,San Benito,0,0,12,10,25,0,47,q2_22.csv
35,San Bernardino,3,11,662,437,419,28,1560,q2_22.csv
36,San Diego,2,17,2286,4259,480,30,7074,q2_22.csv
37,San Francisco,12,6,652,677,113,29,1575,q2_22.csv
38,San Joaquin,0,0,190,207,116,9,596,q2_22.csv
39,San Luis Obispo,0,1,353,81,128,0,640,q2_22.csv
40,San Mateo,3,36,2141,1921,304,17,4799,q2_22.csv
41,Santa Barbara,3,2,311,101,97,1,515,q2_22.csv
42,Santa Clara,3,75,3883,11344,614,40,16981,q2_22.csv
43,Santa Cruz,1,0,192,69,70,0,356,q2_22.csv
44,Shasta,0,0,41,39,23,2,105,q2_22.csv
45,Sierra,0,0,1,0,0,0,1,q2_22.csv
46,Siskiyou,0,1,24,0,43,0,68,q2_22.csv
47,Solano,5,0,251,95,92,2,509,q2_22.csv
48,Sonoma,1,0,472,200,115,15,840,q2_22.csv
49,Stanislaus,1,1,56,31,52,1,158,q2_22.csv
50,Sutter,0,0,5,3,16,0,24,q2_22.csv
51,Tehama,0,0,12,35,32,1,80,q2_22.csv
52,Trinity,0,0,4,0,10,0,14,q2_22.csv
53,Tulare,0,3,55,32,48,22,160,q2_22.csv
54,Tuolumne,0,0,34,4,14,0,52,q2_22.csv
55,Ventura,4,0,409,269,131,8,821,q2_22.csv
56,Yolo,12,0,206,102,50,0,428,q2_22.csv
57,Yuba,0,0,25,33,0,0,60,q2_22.csv
58,Unknown,0,0,0,16,0,0,16,q2_22.csv
59,Total,184,374,29725,41511,7494,495,79783,q2_22.csv
